Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,uses
J2690,"Injection, procainamide hcl, up to 1 gm",Procainamide HCL,Procainamide HCL, 
J2700,"Injection, oxacillin sodium, up to 250 mg",Oxacillin*,Oxacillin In Dextrose(Iso-Osm)*,Oxacillin is used to treat a wide variety of bacterial infections. It is a penicillin antibiotic. It works by stopping the growth of bacteria.
J2704,"Injection, propofol, 10 mg",Diprivan*,Propofol*, 
J2720,"Injection, protamine sulfate, per 10 mg",Protamine Sulfate,Protamine Sulfate, 
J2724,"Injection, protein c concentrate, intravenous, human, 10 iu",Ceprotin,"Protein C, Human","Protein C is a natural substance in your body that helps to decrease clotting in the blood vessels. This medication is used to prevent and treat blood clots (e.g., venous thrombosis, purpura fulminans) in people who are born with a severe lack of protein C."
J2765,"Injection, metoclopramide hcl, up to 10 mg",Metoclopramide HCL,Metoclopramide HCL,"Metoclopramide is used to prevent nausea and vomiting from surgery or chemotherapy. It is also used by people with diabetes who have slow emptying of their stomachs (gastroparesis). Treating gastroparesis can decrease symptoms of nausea, vomiting, and stomach/abdominal fullness. Metoclopramide may also be used in certain procedures where stomach emptying is needed. Metoclopramide works by blocking a natural substance (dopamine) which can cause nausea and vomiting. It also speeds up stomach emptying and movement of the upper intestines. This drug is not recommended for use in children younger than 1 year due to an increased risk of serious side effects (such as muscle spasms/uncontrolled muscle movements). Ask the doctor or pharmacist for details."
J2770,"Injection, quinupristin/dalfopristin, 500 mg (150/350)",Synercid,Quinupristin/Dalfopristin,This medication is a combination of 2 antibiotics. It is used to treat certain serious bacterial infections that have not responded to treatment with other antibiotics (resistant infections). This medication belongs to the class of antibiotics called streptogramins. Quinupristin/dalfopristin works by stopping the growth of bacteria.
J2778,"Injection, ranibizumab, 0.1 mg",Lucentis,Ranibizumab,"This medication is used to treat certain serious eye conditions (such as age-related macular degeneration, macular edema, diabetic retinopathy). It is used to help prevent decreased vision and blindness. Ranibizumab works by slowing the growth of abnormal new blood vessels in the eye and decreasing leakage from these blood vessels."
J2780,"Injection, ranitidine hydrochloride, 25 mg",Ranitidine HCL*,Ranitidine HCL*,"Ranitidine is used to treat ulcers of the stomach and intestines and prevent them from coming back after they have healed. This medication is also used to treat certain stomach and throat (esophagus) problems (such as erosive esophagitis, gastroesophageal reflux disease-GERD, Zollinger-Ellison syndrome). It works by decreasing the amount of acid your stomach makes. It relieves symptoms such as cough that doesn't go away, stomach pain, heartburn, and difficulty swallowing. Ranitidine belongs to a class of drugs known as H2 blockers. This form of ranitidine is given by injection and is used for short-term treatment of these conditions when you cannot take this medication by mouth. Your doctor should switch you to taking this medication by mouth when possible."
J2783,"Injection, rasburicase, 0.5 mg",Elitek,Rasburicase,"This medication is used to prevent high blood levels of uric acid from occurring in children with cancer (e.g., leukemia, lymphoma, solid malignant tumors) who are about to receive cancer chemotherapy treatment. When chemotherapy is given, cancer cells are destroyed, releasing large amounts of uric acid into the bloodstream. This medication allows uric acid to more easily be removed from the body by the kidneys."
J2785,"Injection, regadenoson, 0.1 mg",Lexiscan,Regadenoson, 
J2790,"Injection, rho d immune globulin, human, full dose, 300 micrograms (1500 i.u.)",Hyperrho S-D*,Rho(D) Immune Globulin*, 
J2791,"Injection, rho(d) immune globulin (human), (rhophylac), intramuscular or intravenous, 100 iu",Rhophylac,Rho(D) Immune Globulin, 
J2792,"Injection, rho d immune globulin, intravenous, human, solvent detergent, 100 iu",Winrho SDf,Rho(D) Immune Globulin/Maltose, 
J2794,"Injection, risperidone, long acting, 0.5 mg",Risperdal Consta,Risperidone Microspheres,"Risperidone is used to treat certain mental/mood disorders (schizophrenia, bipolar disorder). This medication can help you to think clearly and take part in everyday life. Risperidone belongs to a class of drugs called atypical antipsychotics. It works by helping to restore the balance of certain natural substances in the brain."
J2795,"Injection, ropivacaine hydrochloride, 1 mg",Naropin*,Ropivacaine HCL/PF*, 
J2796,"Injection, romiplostim, 10 micrograms",NPlate,Romiplostim,This medication is used to treat a certain blood disorder (idiopathic thrombocytopenia purpura - ITP) in which the blood does not clot properly due to a lack of platelets. Platelets are a type of blood cell needed to form blood clots and prevent bleeding. Romiplostim decreases your risk of bleeding by increasing the number of platelets. Romiplostim acts like a certain natural substance (thrombopoietin) that causes the body to produce platelets.
J2800,"Injection, methocarbamol, up to 10 ml",Methocarbamol*,Methocarbamol*, 
J2805,"Injection, sincalide, 5 micrograms",Kinevac,Sincalide, 
J2820,"Injection, sargramostim (gm-csf), 50 mcg",Leukine,Sargramostim,"Sargramostim is a man-made version of a certain natural substance made in your body. It is used to help your body make more white blood cells. White blood cells are important to help you fight off infections. Sargramostim is given to people whose ability to make white blood cells is reduced (for instance, due to chemotherapy or exposure to large amounts of radiation). It is also used in certain treatment procedures (such as bone marrow/stem cell transplant)."
J2850,"Injection, secretin, synthetic, human, 1 microgram",Chirhostim,Secretin Acetate (Human), 
J2916,"Injection, sodium ferric gluconate complex in sucrose injection, 12.5 mg",Ferrlecit*,Sodium Ferric Gluconat/Sucrose*, 
J2920,"Injection, methylprednisolone sodium succinate, up to 40 mg",MethylprednIsolone Sodium Succ (J2920)*,MethylprednIsolone Sod Succ*,"This medication is used to treat conditions such as arthritis, blood disorders, severe allergic reactions, certain cancers, eye conditions, skin/kidney/intestinal/lung diseases, and immune system disorders. It decreases your immune system's response to various diseases to reduce symptoms such as swelling, pain, and allergic-type reactions. Methylprednisolone is a corticosteroid hormone. This injectable form of methylprednisolone is used when a similar drug cannot be taken by mouth or when a very fast response is needed, especially in patients with severe medical conditions. Talk to your doctor about the risks and benefits of methylprednisolone, especially if it is to be injected near your spine (epidural). Rare but serious side effects may occur with epidural use. Methylprednisolone may also be used with other medications in hormone disorders."
J2930,"Injection, methylprednisolone sodium succinate, up to 125 mg",MethylprednIsolone Sodium Succ (J2930)*,MethylprednIsolone Sod Succ*,"This medication is used to treat conditions such as arthritis, blood disorders, severe allergic reactions, certain cancers, eye conditions, skin/kidney/intestinal/lung diseases, and immune system disorders. It decreases your immune system's response to various diseases to reduce symptoms such as swelling, pain, and allergic-type reactions. Methylprednisolone is a corticosteroid hormone. This injectable form of methylprednisolone is used when a similar drug cannot be taken by mouth or when a very fast response is needed, especially in patients with severe medical conditions. Talk to your doctor about the risks and benefits of methylprednisolone, especially if it is to be injected near your spine (epidural). Rare but serious side effects may occur with epidural use. Methylprednisolone may also be used with other medications in hormone disorders."
J2997,"Injection, alteplase recombinant, 1 mg",Activase*,Alteplase*, 
J3010,"Injection, fentanyl citrate, 0.1 mg",Fentanyl Citrate,Fentanyl Citrate/PF, 
J3060,"Injection, taliglucerace alfa, 10 units",Elelyso,Taliglucerase Alfa,"Taliglucerase is used to treat a certain rare genetic problem (Gaucher disease). Taliglucerase replaces a certain natural substance (an enzyme called glucocerebrosidase) that is missing in people with Gaucher disease. This medication improves blood, bone, liver, and spleen problems caused by Gaucher disease. Taliglucerase does not correct the genetic problem, and treatment must be continued for life."
J3070,"Injection, pentazocine, 30 mg",Talwin,Pentazocine Lactate, 
J3095,"Injection, telavancin, 10 mg",Vibativ,Telavancin HCL,This medication is an antibiotic used to treat serious bacterial infections of the skin and certain types of pneumonia. It works by stopping the growth of bacteria.
J3101,"Injection, tenecteplase, 1 mg",Tnkase,Tenecteplase, 
J3105,"Injection, terbutaline sulfate, up to 1 mg",Terbutaline Sulfate,Terbutaline Sulfate,"Terbutaline is used to treat wheezing and shortness of breath from lung problems (e.g., asthma, chronic obstructive pulmonary disease-COPD, bronchitis, emphysema). Terbutaline is a bronchodilator (beta-2 receptor agonist) that works by opening breathing passages to make breathing easier."
J3121,"Injection, testosterone enanthate, 1 mg",Testosterone Enanthate,Testosterone Enanthate,"This medication is used in men who do not make enough of a natural substance called testosterone. In males, testosterone is responsible for many normal functions, including growth and development of the genitals, muscles, and bones. It also helps cause normal sexual development (puberty) in boys. Testosterone belongs to a class of drugs known as androgens. It works by affecting many body systems so that the body can develop and function normally. Testosterone may also be used in certain adolescent boys to cause puberty in those with delayed puberty. It may also be used to treat certain types of breast cancer in women."
J3230,"Injection, chlorpromazine hcl, up to 50 mg",Chlorpromazine HCL,Chlorpromazine HCL, 
J3240,"Injection, thyrotropin alpha, 0.9 mg, provided in 1.1 mg vial",Thyrogen,Thyrotropin Alfa, 
J3243,"Injection, tigecycline, 1 mg",Tigecycline*,Tigecycline*,"Tigecycline is used to treat certain serious bacterial infections when other antibiotics may not work. It is related to a class of drugs known as tetracycline antibiotics. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections."
J3250,"Injection, trimethobenzamide hcl, up to 200 mg",Tigan,Trimethobenzamide HCL, 
J3260,"Injection, tobramycin sulfate, up to 80 mg",Tobramycin Sulfate,Tobramycin Sulfate,This medication is used to prevent or treat a wide variety of bacterial infections. Tobramycin belongs to a class of drugs known as aminoglycoside antibiotics. It works by stopping the growth of bacteria.
J3262,"Injection, tocilizumab, 1 mg",Actemra,Tocilizumab,"This medication is used alone or with other medications to treat moderate to severe rheumatoid arthritis in adults. It is also used to treat rheumatoid arthritis in children (such as systemic juvenile idiopathic arthritis-SJIA, polyarticular juvenile idiopathic arthritis-PJIA). It helps to reduce pain and swelling due to rheumatoid arthritis. Tocilizumab may also be used to treat a reaction (Cytokine Release Syndrome-CRS) caused by certain cancer treatments. Tocilizumab belongs to a class of drugs known as Interleukin-6 (IL-6) blockers. It works by blocking IL-6, a substance made by the body that causes swelling (inflammation)."
J3285,"Injection, treprostinil, 1 mg",Remodulin,Treprostinil Sodium,This medication is used to treat a type of high blood pressure in the lungs (pulmonary arterial hypertension). Treprostinil helps to improve symptoms such as shortness of breath and tiredness. It works by relaxing and widening the blood vessels (arteries) in the lungs and other parts of the body so that blood can flow more easily. This medication belongs to a class of drugs known as vasodilators.
J3300,"Injection, triamcinolone acetonide, preservative free, 1 mg",Triesence,Triamcinolone Acetonide/PF, 
J3301,"Injection, triamcinolone acetonide, not otherwise specified, 10 mg",Kenalog*,Triamcinolone Acetonide*,"This medication is used in a variety of conditions such as allergic disorders, arthritis, blood diseases, breathing problems, certain cancers, eye diseases, intestinal disorders, collagen and skin diseases. Talk to your doctor about the risks and benefits of triamcinolone, especially if it is to be injected near your spine (epidural). Rare but serious side effects may occur with epidural use. Triamcinolone acetonide is known as a corticosteroid hormone (glucocorticoid). It works by decreasing your body's immune response to these diseases and reduces symptoms such as swelling."
J3315,"Injection, triptorelin pamoate, 3.75 mg",Trelstar,Triptorelin Pamoate,Triptorelin is used to treat advanced prostate cancer in men. It is not a cure. Most types of prostate cancer need the male hormone testosterone to grow and spread. Triptorelin works by reducing the amount of testosterone that the body makes. This effect helps slow or stop the growth of cancer cells and helps relieve symptoms such as painful/difficult urination. This medication is similar to a natural substance made by the body (luteinizing hormone releasing hormone-LHRH). Talk to your doctor about the risks and benefits of treatment.
J3357,"Ustekinumab, for subcutaneous injection, 1 mg",Stelara,Ustekinumab,"Ustekinumab is used to treat plaque psoriasis, a certain type of arthritis (psoriatic arthritis), or a certain bowel condition (Crohn's disease). It works by blocking certain natural proteins in your body (interleukin-12 and interleukin-23) that cause inflammation (swelling) in these conditions. Ustekinumab does not cure these diseases, but helps to lessen symptoms of the disease. It can help to decrease the amount of plaques in plaque psoriasis, decrease the number of swollen/painful joints in psoriatic arthritis, and decrease symptoms such as abdominal pain/cramping and diarrhea in Crohn's disease."
J3360,"Injection, diazepam, up to 5 mg",Diazepam,Diazepam,"Diazepam is used to treat anxiety, muscle spasms, and alcohol withdrawal. The injection form is used when prompt relief is desired or when the medication cannot be taken by mouth. This medication is also used for the short-term treatment of serious seizures that do not stop (status epilepticus). It is not for ongoing daily use to prevent seizures. Diazepam is also used before a surgery or procedure to cause drowsiness, decrease anxiety, and to help the patient forget what happened during the surgery/procedure. This medication works by calming the brain and nerves. Diazepam belongs to a class of drugs known as benzodiazepines."
J3370,"Injection, vancomycin hcl, 500 mg",Vancomycin*,Vancomycin HCL In 5 % Dextrose*,"Vancomycin is used to treat serious bacterial infections. It is an antibiotic that works by stopping the growth of bacteria. This medication is usually given by injection into a vein. However, the form in vials may also be given by mouth to treat a certain intestinal condition (colitis) that may rarely happen after treatment with antibiotics. This condition causes diarrhea and stomach/abdominal discomfort or pain. When vancomycin is taken by mouth, it stays in the intestines to stop the growth of bacteria that cause these symptoms. This antibiotic treats only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections."
J3380,"Injection, vedolizumab, 1 mg",Entyvio,Vedolizumab,"This medication is used to treat certain bowel disorders (ulcerative colitis, Crohn's disease). In these conditions, the body's defense system (immune system) attacks healthy tissues in the gut, causing symptoms such as abdominal pain, blood in the stool, and diarrhea. Vedolizumab belongs to a class of drugs known as monoclonal antibodies. It works by blocking the actions of a certain natural substance (integrin) in the body. This helps to decrease swelling (inflammation) in the gut, which lessens symptoms and may slow or stop damage from these bowel disorders."
J3385,"Injection, velaglucerase alfa, 100 units",Vpriv,Velaglucerase Alfa,"Velaglucerase is used to treat a certain rare genetic problem (Gaucher disease). Velaglucerase replaces a certain natural substance (an enzyme called glucocerebrosidase) that is missing in people with Gaucher disease. This medication improves blood, bone, liver, and spleen problems caused by Gaucher disease. Velaglucerase does not correct the genetic problem, and treatment must be continued for life."
J3396,"Injection, verteporfin, 0.1 mg",Visudyne,Verteporfin,"Verteporfin is used along with laser light treatment to treat certain serious eye conditions (e.g., macular degeneration, pathologic myopia, ocular histoplasmosis). It is used to help prevent decreased vision and blindness. After you have received the injection of verteporfin, your doctor will use laser light treatment on the affected eye(s). The laser light will change the drug to a form that works by damaging only those cells that cause the serious eye problem."
J3410,"Injection, hydroxyzine hcl, up to 25 mg",Hydroxyzine HCL,Hydroxyzine HCL,"Hydroxyzine is used for the short-term treatment of nervousness and tension that may occur with certain mental/mood disorders (e.g., anxiety, dementia). It is also used to help manage withdrawal symptoms (e.g., anxiety, agitation) in alcoholics. Other uses include helping to decrease anxiety and nausea before/after surgery or during childbirth or helping certain narcotic pain relievers (e.g., meperidine) work better. Hydroxyzine belongs to a class of medications called antihistamines. It is thought to work by affecting certain natural substances (acetylcholine, serotonin) in your body or by acting directly on certain parts of the brain. Hydroxyzine also blocks a natural substance that your body makes during an allergic reaction (histamine)."
J3411,"Injection, thiamine hcl, 100 mg",Thiamine HCL,Thiamine HCL,"This medication is used to treat or prevent a lack of thiamine (deficiency) when the form taken by mouth cannot be used or would not work as well as the injection. Thiamine is a B vitamin that helps your body to use carbohydrates for energy. It is also important for normal function of your heart, muscles, and nervous system. Most people get enough thiamine in their diet, but certain health conditions (e.g., alcoholism, poor nutrition, pregnancy, stomach/intestinal diseases) can cause a deficiency in thiamine. Serious thiamine deficiency can lead to nerve damage, heart failure, and mental/mood conditions (e.g., confusion, psychosis)."
J3415,"Injection, pyridoxine hcl, 100 mg",Pyridoxine HCL,Pyridoxine HCL (Vitamin B6), 
J3420,"Injection, vitamin b-12 cyanocobalamin, up to 1000 mcg",Cyanocobalamin Injection,Cyanocobalamin (Vitamin B-12),"Cyanocobalamin is a man-made form of vitamin B12 used to treat low levels (deficiency) of this vitamin. Vitamin B12 helps your body use fat and carbohydrates for energy and make new protein. It is also important for normal blood, cells, and nerves. Most people get enough vitamin B12 in their diet, but a deficiency may occur in certain health conditions (e.g., poor nutrition, stomach/intestinal problems, infection, cancer). Serious vitamin B12 deficiency may result in anemia, stomach problems, and nerve damage."
J3430,"Injection, phytonadione (vitamin k), per 1 mg",Vitamin K1,Phytonadione (Vit K1),"Vitamin K is used to treat and prevent low levels of certain substances (blood clotting factors) that your body naturally produces. These substances help your blood to thicken and stop bleeding normally (e.g., after an accidental cut or injury). Low levels of blood clotting factors increase the risk for unusual bleeding. Low levels may be caused by certain medications (e.g., warfarin) or medical conditions (e.g., obstructive jaundice). Vitamin K helps to treat and prevent unusual bleeding by increasing the body's production of blood clotting factors."
J3465,"Injection, voriconazole, 10 mg",Vfend IV*,Voriconazole*,Voriconazole is used to treat a variety of fungal infections. It belongs to a class of drugs known as azole antifungals. It works by stopping the growth of fungi.
J3471,"Injection, hyaluronidase, ovine, preservative free, per 1 usp unit (up to 999 usp units)",Vitrase,"Hyaluronidase,ovine", 
J3473,"Injection, hyaluronidase, recombinant, 1 usp unit",Hylenex,"Hyaluronidase, Human Recomb.", 
J3475,"Injection, magnesium sulfate, per 500 mg",Magnesium Sulfate*,Magnesium Sulfate*, 
J3480,"Injection, potassium chloride, per 2 meq",Dextrose 5%-Potassium Chloride*,Potassium Chloride In D5W*, 
J3489,"Injection, zoledronic acid, 1 mg",Reclast*,Zoledronic Acid/Mannitol-Water*,This medication is used to treat a certain type of bone disease (Paget's disease) that causes abnormal and weak bones. Zoledronic acid is also used to treat bone loss (osteoporosis) in men and in women after menopause. It may also be used to treat or prevent osteoporosis in people who are taking corticosteroid medications (such as prednisone) for long periods. It works by slowing the breakdown of bone and keeping bones strong. It also helps to reduce the risk of broken bones (fractures). This medication belongs to a class of drugs known as bisphosphonates. Another zoledronic acid product is used to treat bone problems that may occur with cancer. The 2 products should not be used together.
J7030,"Infusion, normal saline solution , 1000 cc",Sodium Chloride (J7030),0.9 % Sodium Chloride,This solution is used to supply water and salt (sodium chloride) to the body. Sodium chloride solution may also be mixed with other medications given by injection into a vein.
J7040,"Infusion, normal saline solution, sterile (500 ml = 1 unit)",Sodium Chloride (J7040),0.9 % Sodium Chloride,This solution is used to supply water and salt (sodium chloride) to the body. Sodium chloride solution may also be mixed with other medications given by injection into a vein.
J7042,5% dextrose/normal saline (500 ml = 1 unit),Dextrose 5%-0.9% NaCl,Dextrose 5 % And 0.9 % NaCl, 
J7050,"Infusion, normal saline solution, 250 cc",Sodium Chloride (J7050),0.9 % Sodium Chloride,This solution is used to supply water and salt (sodium chloride) to the body. Sodium chloride solution may also be mixed with other medications given by injection into a vein.
J7060,5% dextrose/water (500 ml = 1 unit),Dextrose In Water (J7060),Dextrose 5 % In Water, 
J7070,"Infusion, d5w, 1000 cc",Dextrose In Water (J7070),Dextrose 5 % In Water, 
J7120,"Ringers lactate infusion, up to 1000 cc",Lactated Ringers,"Ringer's Solution,lactated", 
J7180,"Injection, factor xiii (antihemophilic factor, human), 1 i.u.",Corifact,Factor XIII, 
J7182,"Injection, factor viii, (antihemophilic factor, recombinant), (novoeight), per iu",Novoeight,"Antihemoph.FVIII,b-Dom Truncat","This medication is used to control and prevent bleeding episodes in people with low levels of factor VIII (hemophilia A). It is also used in these patients before surgery to prevent bleeding. People with low factor VIII levels are at risk for bleeding longer after an injury/surgery and for bleeding inside the body (especially into the joints and muscles). This product contains a man-made form of factor VIII, also called antihemophilic factor. This product is used to temporarily replace the missing factor VIII, a protein (clotting factor) that is normally in the blood, so that the blood can clot and the bleeding can stop. This medication should not be used to treat von Willebrand disease."
J7183,"Injection, von willebrand factor complex (human), wilate, 1 i.u. vwf:rco",Wilate,Antihemophilic Factor/VWF,"This product contains human factor VIII (also called antihemophilic factor) and von Willebrand factor complex. Factors are proteins normally found in the blood that help the blood to thicken (clot) and stop any bleeding. People with low levels of factor VIII and von Willebrand factor are at risk for bleeding longer after an injury/surgery and for bleeding inside the body (especially into the joints and muscles). This product is used to temporarily replace the missing factors and reduce bleeding. Different brands of this product have different amounts of these factors, and therefore different uses. These products are not interchangeable. Do not change brands of this medication without the approval of your doctor. Some products are used to control and prevent bleeding episodes in people with low levels of factor VIII (hemophilia A). Some products are used to treat bleeding episodes in people with low levels of von Willebrand factor (von Willebrand disease) who do not respond to or cannot tolerate desmopressin. Some products are used to prevent excessive bleeding during and after surgery in patients with von Willebrand disease."
J7185,"Injection, factor viii (antihemophilic factor, recombinant) (xyntha), per i.u.",Xyntha*,"Antihemoph.FVIII,b-Domain Del*","This medication is used to control and prevent bleeding episodes in people with low levels of factor VIII (hemophilia A). It is also used in these patients before surgery to prevent bleeding. People with low factor VIII levels are at risk for bleeding longer after an injury/surgery and for bleeding inside the body (especially into the joints and muscles). This product contains a man-made form of factor VIII, also called antihemophilic factor. This product is used to temporarily replace the missing factor VIII, a protein (clotting factor) that is normally in the blood, so that the blood can clot and the bleeding can stop. This medication should not be used to treat von Willebrand disease."
J7186,"Injection, antihemophilic factor viii/von willebrand factor complex (human), per factor viii i.u.",Alphanate (J7186),Antihemophilic Factor/VWF,"This product contains human factor VIII (also called antihemophilic factor) and von Willebrand factor complex. Factors are proteins normally found in the blood that help the blood to thicken (clot) and stop any bleeding. People with low levels of factor VIII and von Willebrand factor are at risk for bleeding longer after an injury/surgery and for bleeding inside the body (especially into the joints and muscles). This product is used to temporarily replace the missing factors and reduce bleeding. Different brands of this product have different amounts of these factors, and therefore different uses. These products are not interchangeable. Do not change brands of this medication without the approval of your doctor. Some products are used to control and prevent bleeding episodes in people with low levels of factor VIII (hemophilia A). Some products are used to treat bleeding episodes in people with low levels of von Willebrand factor (von Willebrand disease) who do not respond to or cannot tolerate desmopressin. Some products are used to prevent excessive bleeding during and after surgery in patients with von Willebrand disease."
J7187,"Injection, von willebrand factor complex (humate-p), per iu vwf:rco",Humate-P,Antihemophilic Factor/VWF,"This product contains human factor VIII (also called antihemophilic factor) and von Willebrand factor complex. Factors are proteins normally found in the blood that help the blood to thicken (clot) and stop any bleeding. People with low levels of factor VIII and von Willebrand factor are at risk for bleeding longer after an injury/surgery and for bleeding inside the body (especially into the joints and muscles). This product is used to temporarily replace the missing factors and reduce bleeding. Different brands of this product have different amounts of these factors, and therefore different uses. These products are not interchangeable. Do not change brands of this medication without the approval of your doctor. Some products are used to control and prevent bleeding episodes in people with low levels of factor VIII (hemophilia A). Some products are used to treat bleeding episodes in people with low levels of von Willebrand factor (von Willebrand disease) who do not respond to or cannot tolerate desmopressin. Some products are used to prevent excessive bleeding during and after surgery in patients with von Willebrand disease."
J7189,"Factor viia (antihemophilic factor, recombinant), per 1 microgram",Novoseven RT,"Coagulation Factor VIIA,recomb","This medication is used to treat and prevent bleeding in people with certain conditions (such as hemophilia type A or B, low levels of factor VII, Glanzmann's thrombasthenia). People with these conditions are at risk for bleeding longer after an injury/surgery and for bleeding inside the body (especially into the joints and muscles). This product contains a man-made form of factor VIIa, which is a protein (clotting factor) in the blood that works with other clotting factors to help the blood clot and therefore stop bleeding."
J7190,"Factor viii (antihemophilic factor, human) per i.u.",Alphanate (J7190)*,Antihemophilic Factor/VWF*,"This product contains human factor VIII (also called antihemophilic factor) and von Willebrand factor complex. Factors are proteins normally found in the blood that help the blood to thicken (clot) and stop any bleeding. People with low levels of factor VIII and von Willebrand factor are at risk for bleeding longer after an injury/surgery and for bleeding inside the body (especially into the joints and muscles). This product is used to temporarily replace the missing factors and reduce bleeding. Different brands of this product have different amounts of these factors, and therefore different uses. These products are not interchangeable. Do not change brands of this medication without the approval of your doctor. Some products are used to control and prevent bleeding episodes in people with low levels of factor VIII (hemophilia A). Some products are used to treat bleeding episodes in people with low levels of von Willebrand factor (von Willebrand disease) who do not respond to or cannot tolerate desmopressin. Some products are used to prevent excessive bleeding during and after surgery in patients with von Willebrand disease."
J7192,"Factor viii (antihemophilic factor, recombinant) per i.u., not otherwise specified",Advate*,"Antihemophil.FVIII,full Length*","This medication is used to control and prevent bleeding episodes in people with low levels of factor VIII (hemophilia A). It is also used in these patients before surgery to prevent bleeding. People with low factor VIII levels are at risk for bleeding longer after an injury/surgery and for bleeding inside the body (especially into the joints and muscles). This product contains a man-made form of factor VIII, also called antihemophilic factor. This product is used to temporarily replace the missing factor VIII, a protein (clotting factor) that is normally in the blood, so that the blood can clot and the bleeding can stop. This medication should not be used to treat von Willebrand disease."
J7193,"Factor ix (antihemophilic factor, purified, non-recombinant) per i.u.",Alphanine SD*,Factor Ix*,"This medication is used to prevent or control bleeding in people with little or no factor IX (due to hemophilia B, Christmas disease). Factor IX is a protein (clotting factor) in the blood that works with other clotting factors to help the blood clot and therefore stop bleeding. People with little or no factor IX are at risk for bleeding longer after an injury/surgery or bleeding suddenly (often in the joints/muscle) without an obvious cause. This medication should not be used to reverse the effects of ""blood thinners"" (e.g., warfarin). Most types of this medication should not be used to treat other types of factor deficiencies (e.g., factors II, VII, VIII, X) or factor problems (e.g., inhibitor to factor XIII). If you are using this medication for one of these conditions, consult your doctor or pharmacist to make sure that you are using the right product."
J7194,"Factor ix, complex, per i.u.",Bebulin*,"Factor Ix Cplx(Pcc)no6,3factor*","This medication is used to prevent or control bleeding in people with little or no factor IX (due to hemophilia B, Christmas disease). Factor IX is a protein (clotting factor) in the blood that works with other clotting factors to help the blood clot and therefore stop bleeding. People with little or no factor IX are at risk for bleeding longer after an injury/surgery or bleeding suddenly (often in the joints/muscle) without an obvious cause. This medication should not be used to reverse the effects of ""blood thinners"" (e.g., warfarin). Most types of this medication should not be used to treat other types of factor deficiencies (e.g., factors II, VII, VIII, X) or factor problems (e.g., inhibitor to factor XIII). If you are using this medication for one of these conditions, consult your doctor or pharmacist to make sure that you are using the right product."
J7195,"Injection, factor ix (antihemophilic factor, recombinant) per iu, not otherwise specified",Benefix,Factor Ix Human Recombinant,"This medication is used to prevent or control bleeding in people with little or no factor IX (due to hemophilia B, Christmas disease). Factor IX is a protein (clotting factor) in the blood that works with other clotting factors to help the blood clot and therefore stop bleeding. People with little or no factor IX are at risk for bleeding longer after an injury/surgery or bleeding suddenly (often in the joints/muscle) without an obvious cause. This medication should not be used to treat other types of factor deficiencies (e.g., factors II, VII, VIII, X) or factor problems (e.g., inhibitor to factor XIII), to reverse the effects of ""blood thinners"" (e.g., warfarin), or to treat bleeding from low levels of liver-dependent clotting factors (due to liver problems)."
J7198,"Anti-inhibitor, per i.u.",Feiba NF,Anti-Inhibitor Coagulant Comp., 
J7200,"Injection, factor ix, (antihemophilic factor, recombinant), rixubis, per iu",Rixubis,Factor Ix Human Recombinant,"This medication is used to prevent or control bleeding in people with little or no factor IX (due to hemophilia B, Christmas disease). Factor IX is a protein (clotting factor) in the blood that works with other clotting factors to help the blood clot and therefore stop bleeding. People with little or no factor IX are at risk for bleeding longer after an injury/surgery or bleeding suddenly (often in the joints/muscle) without an obvious cause. This medication should not be used to treat other types of factor deficiencies (e.g., factors II, VII, VIII, X) or factor problems (e.g., inhibitor to factor XIII), to reverse the effects of ""blood thinners"" (e.g., warfarin), or to treat bleeding from low levels of liver-dependent clotting factors (due to liver problems)."
J7201,"Injection, factor ix, fc fusion protein, (recombinant), alprolix, 1 i.u.",Alprolix,"Factor Ix Rec, Fc Fusion Protn","This medication is used to prevent or control bleeding in people with little or no factor IX (due to hemophilia B, Christmas disease). Factor IX is a protein (clotting factor) in the blood that works with other clotting factors to help the blood clot and therefore stop bleeding. People with little or no factor IX are at risk for bleeding longer after an injury/surgery or bleeding suddenly (often in the joints/muscle) without an obvious cause. This medication should not be used to treat other types of factor deficiencies (e.g., factors II, VII, VIII, X) or factor problems (e.g., inhibitor to factor XIII), to reverse the effects of ""blood thinners"" (e.g., warfarin), or to treat bleeding from low levels of liver-dependent clotting factors (due to liver problems)."
J7205,"Injection, factor viii fc fusion protein (recombinant), per iu",Eloctate,"Antihemoph.FVIII Rec,fc Fusion","This medication is used to control and prevent bleeding that happens to people (usually males) with an inherited medical condition, hemophilia A (low levels of factor VIII). It is also given before surgery to prevent too much bleeding in people with this condition. Factor VIII is a protein (clotting factor) that is in normal blood, and helps form blood clots and stop bleeding after an injury. People with low factor VIII levels may bleed longer than normal after an injury/surgery and may have bleeding inside the body (especially in the joints and muscles). This medication contains man-made factor VIII (antihemophilic factor) to temporarily replace factor VIII in the body, connected to an antibody (immunoglobulin) that helps the man-made factor VIII work longer. When used to control and prevent bleeding, this medication may help relieve pain and long-term damage caused by hemophilia A. This medication should not be used to treat von Willebrand disease."
